idOs;placa;chassi;Latitude;Longitude
10412;QXT2D71;9BWAB45U5MT009451;-12,9063473;-38,3403645
10416;QXT2D68;9BWAB45U4MT011482;-22,337817;-49,0530688
10417;QXT2D75;9BWAB45U6MT013878;-12,905989;-38,341042
10419;QXT2D72;9BWAB45U5MT013175;-12,699836;-38,3047455
10423;QXP1E37;9BWAB45UXMT008151;-12,9063228;-38,3403806
10425;QXM4546;9BWAB45U3MT001171;-3,7423803;-38,4773876
10429;QWU5591;9BWAB45U7LT054891;-8,2913741;-35,984874
10435;QWU5594;9BWAB45U8LT055094;-23,5241536;-46,6695443
10436;QWU5578;9BWAB45U4LT055772;-9,6465038;-35,7007393
10440;QWU6153;9BWAB45U9LT064094;-7,0892876;-34,8474241
10444;QWU6063;9BWAB45U5LT062746;-8,1333215;-34,9156533
10448;QXS7G64;9BWAB45UXMT007646;-22,9271583;-47,0688118
10449;QWV1238;9BWAB45U8LT054415;-12,9063523;-38,3407691
10453;QWU6037;9BWAB45U4LT063032;-5,0629871;-42,8202168
10454;QXP9C87;9BWAB45U3MT009982;-23,541647;-46,575692
10456;QXP9C88;9BWAB45U4MT009912;-22,958609;-46,5438418
10464;QXP1E45;9BWAB45U2MT008127;-8,2914033;-35,9847858
10467;QWU5959;9BWAB45UXLT064296;-8,1328201;-34,9154041
10468;QWU6075;9BWAB45U5LT063296;-3,7809156;-38,5355485
10475;QWU6012;9BWAB45U2LT062770;-26,2935985;-48,8486873
10477;QWV1224;9BWAB45U3LT063295;-23,5130633;-46,6907938
10480;QWU6032;9BWAB45U3LT064561;-23,0088956;-47,1427005
10481;QWU5989;9BWAB45U1LT064171;-5,855771;-35,1997598
10482;QWV1256;9BWAB45U9LT054293;-3,7425738;-38,4770171
10483;QWU5995;9BWAB45U1LT064414;-10,9406546;-37,0595896
10485;QXN5291;9BWDB45U7MT006029;-19,9394683;-43,9329856
10494;QXP4I93;9BWDB45U4MT009423;-23,5131658;-46,6908553
10504;QWU5769;936CLHMZ1LB525932;-29,99346;-51,1850973
10516;QUQ3148;936CLHMZ1LB521755;-22,889558;-47,0572156
10519;QWR8539;936CLHMZ1LB526254;-23,6234053;-46,6277226
10520;QWX3373;936CLHMZ1LB537807;-23,6931171;-46,5506978
10524;QWU7230;936CLHMZ1LB512720;-23,4907008;-47,4426308
10526;QWR8840;936CLHMZ1LB528730;-20,8436633;-49,4018875
10532;QWR8827;936CLHMZ1LB525928;-23,5415753;-46,577309
10538;QWR8462;936CLHMZ1LB531231;-23,4662035;-46,4871653
10541;QUP6334;936CLHMZ1LB521690;-22,7580438;-47,3377113
10552;QWR8842;936CLHMZ1LB529368;-23,6283498;-46,6688451
10555;QWR9093;936CLHMZ1LB528734;-23,5413206;-46,5754776
10557;QXA4846;936CLHMZ1LB523362;-23,537573;-46,581159
10565;QWR8469;936CLHMZ1LB532425;-22,9138508;-43,1692395
10573;QWX4916;936CLHMZ1LB535318;-23,6929691;-46,551959
10582;QUP6350;936CLHMZ1LB521703;-22,7677528;-43,2873428
10584;QWR8849;936CLHMZ1LB530932;-23,4460628;-46,4897696
10588;QWX4919;936CLHMZ1LB535721;-23,5378405;-46,776832
10591;QWX9656;936CLHMZ1LB518422;-23,599591;-46,6375775
10592;QXA4207;936CLHMZ1LB521717;-22,881369;-43,0974
10597;QXC9568;936CLHMZ1LB505853;-19,9048395;-43,9659251
10603;QWU7233;936CLHMZ1LB532431;-23,4738405;-46,5394201
10616;QUN4857;936CLHMZ1LB518441;-12,9060541;-38,3410581
10621;QXB6214;936CLHMZ1LB523354;-19,8541423;-43,956981
10622;QUQ8790;936CLHMZ1LB523357;-23,515559;-46,6225703
10626;QXA4199;936CLHMZ1LB515045;-19,6599998;-43,93842
10649;QWR9083;936CLHMZ1LB526912;-22,9240331;-43,2382271
10652;QWX3367;936CLHMZ1LB536635;-22,7558566;-43,4331193
10653;QWX3366;936CLHMZ1LB536634;-22,9239231;-43,2381188
10658;QWX3354;936CLHMZ1LB533025;-22,9236178;-43,2384421
10662;QWS9698;936CLHMZ1LB526578;-22,7483811;-42,8649098
10687;QWR9113;936CLHMZ1LB532135;-22,7486888;-42,8647545
10689;QUP6363;936CLHMZ1LB521715;-23,6469985;-46,7018678
10690;QWU5811;936CLHMZ1LB528415;-22,9239845;-43,2382488
10702;QWX3359;936CLHMZ1LB534237;-22,7488288;-42,8648313
10720;QWX8274;9BD358A4NLYK12014;-26,225745;-48,8015923
10728;QWU8316;9BD358A4NLYK08851;-29,992206;-51,1842948
10741;QXM2477;9BD358A4NLYK31516;-29,9931455;-51,1851398
10742;QWU9B24;9BD358A4NLYK08533;-30,0093126;-51,1422866
10743;QXP1H76;9BD358A4NLYK33522;-29,1708718;-51,182219
10772;QWV0G73;9BD358A4NLYK06119;-27,5995791;-48,598298
10779;QXO1B90;9BD358A4NLYK31951;-29,6917565;-51,1397396
10799;QUK2836;9BD358A4NLYJ81921;-23,5131665;-46,6906388
10807;QUP4052;9BD358A4NLYJ82732;-23,5129991;-46,6908945
10821;QUM9859;9BD358A4NLYJ81464;-23,5375771;-46,5809556
10847;QUK8180;9BD358A4NLYJ81417;-23,6930296;-46,5520138
10889;QWY2738;9BD358A4NLYK12233;-23,595932;-46,8628613
10893;QWY8595;9BD358A4NLYK13716;-22,8894438;-47,0574846
10900;QWX7673;9BD358A4NLYK12182;-23,4403988;-46,5424075
10921;QWZ5328;9BD358A4NLYK14984;-23,4402486;-46,5417225
10949;QWY2694;9BD358A4NLYK11896;-23,618223;-46,6266118
10960;QUQ3174;9BD358A4NLYJ93236;-22,767676;-43,2872581
10980;QUX8768;9BD358A4NLYJ98434;-23,6809573;-46,6981433
10992;QXH1320;9BD358A4NLYK23911;-23,5376015;-46,5809168
11008;QUK2811;9BD358A4NLYJ81572;-22,9335458;-47,0792308
11049;QWV0625;9BD358A4NLYK06902;-23,1761413;-46,8973755
11052;QXN0337;9BD358A4NLYK32743;-23,6781626;-46,5557926
11057;QXP0J47;9BD358A4NLYK35543;-23,5689991;-46,4998996
11072;QWV0B38;9BD358A4NLYK09077;-19,8737288;-43,9779033
11083;QXP2J48;9BD358A4NLYK36036;-20,4753261;-54,6370516
11124;QXP0B24;9BD358A4NLYK35924;-22,9133496;-43,1702288
11135;QXP1I08;9BD358A4NLYK34157;-12,2580308;-38,9542843
11138;QXP6B04;9BD358A4NLYK36675;-23,9965335;-46,4068151
11146;QXG8979;9BD358A4NLYK22817;-23,4461058;-46,4895826
11147;QWU8807;9BD358A4NLYK06301;-23,515589;-46,6225701
11160;QUR9231;9BD358A4NLYJ93023;-23,4460925;-46,4896231
11171;QXO0I63;9BD358A4NLYK34576;-15,7917453;-47,975564
11181;QXA5227;9BD358A4NLYK15671;-23,499157;-46,8551086
11184;QUJ9D42;9BD358A4NLYJ82038;-21,772615;-48,173106
11206;QUW4911;9BD358A4NLYJ98241;-23,5376073;-46,5809366
11212;QXA2536;9BD358A4NLYK15339;-19,8545361;-43,9572221
11229;QWX7J63;9BD358A4NLYK12132;-25,5382371;-49,1765381
11245;QXP1I00;9BD358A4NLYK34134;-23,1763743;-46,8972403
11249;QXA2424;9BD358A4NLYK15065;-23,5156131;-46,6224935
11289;QUX2640;9BD358A4NLYJ99999;-15,6086613;-56,078766
11290;QXO0860;9BD358A4NLYK34203;-23,6931061;-46,5507168
11316;QUW4903;9BD358A4NLYJ97918;-23,6183605;-46,5631586
11324;QUR7462;9BD358A4NLYJ93217;-23,5385433;-46,7695138
11351;QXA4420;9BD358A4NLYK13715;-27,5994593;-48,598222
11356;QXA4510;9BD358A4NLYK15632;-23,5375451;-46,580917
11405;QXB0550;9BD358A4NLYK16281;-22,715521;-47,632229
11430;QXS4D08;9BD358A4NLYK37978;-23,5376798;-46,580893
11431;QXP1H87;9BD358A4NLYK34061;-23,522776;-46,6708525
11446;QUX8F16;9BD358A4NLYJ99248;-23,538208;-46,7693741
11456;QXO0847;9BD358A4NLYK34549;-23,5156143;-46,6225843
11509;QWX8074;9BD358A4NLYK12317;-12,6997858;-38,3048965
11516;QXS4C93;9BD358A4NLYK37848;-10,9406451;-37,0597535
11608;QUJ9366;9BD358A4NLYJ82071;-20,2557636;-40,2894673
11636;QXS4A59;9BD358A4NLYK38151;-23,6207656;-46,6656721
11670;QXC1374;9BD358A4NLYK18646;-19,6598605;-43,9379371
11679;QUX3175;9BD358A4NLYK00389;-22,7995908;-43,2934263
11682;QUJ9336;9BD358A4NLYJ82035;-19,9048436;-43,9657636
11712;QXS4A53;9BD358A4NLYK38140;-19,9049173;-43,9658198
11719;QXE8294;9BD358A4NLYK23723;-19,904514;-43,9659476
11760;QUJ9339;9BD358A4NLYJ82037;-22,9993016;-43,3623475
11804;QXQ0B42;9BD358A4NLYK37155;-25,5382868;-49,1766248
11811;QXP1H75;9BD358A4NLYK33367;-27,5949536;-48,5596611
11812;QXP0H22;9BD358A4NLYK33278;-25,4454345;-49,2976583
11880;QWV0046;9BD358A4NLYK06915;-22,817085;-43,2380908
11882;QUP4088;9BD358A4NLYJ87887;-23,948662;-46,3315126
11904;QXP4H31;935SLHMZ1LB544123;-22,912701;-43,1704716
11905;QXP8B04;935SLHMZ1LB541183;-19,76663;-47,9613821
11906;QXP8A94;935SLHMZ1LB547823;-23,4989858;-46,855138
11907;QXR4E72;935SLHMZ1LB550619;-23,6781921;-46,5558191
11910;QXR4E60;935SLHMZ1LB543751;-26,8882245;-48,6541816
11912;QXP5C64;935SLHMZ1LB543760;-23,6584246;-46,6787998
11920;QXP8A91;935SLHMZ1LB543746;-19,9357211;-43,934439
11923;QXP5C59;935SLHMZ1LB543753;-19,9049843;-43,9657388
11929;QXP5C55;935SLHMZ1LB541917;-18,887628;-48,2308373
11930;QXP5C52;935SLHMZ1LB540836;-19,9049596;-43,9657748
11932;QXP8A80;935SLHMZ1LB539464;-23,6782206;-46,5556465
11933;QXP8A90;935SLHMZ1LB541913;-19,904918;-43,966107
11938;QXP8A82;935SLHMZ1LB539817;-19,9358813;-43,93446
11940;QXR4F01;935SLHMZ1LB549489;-25,4453648;-49,2973495
11942;QXR4E51;935SLHMZ1LB543747;-22,881513;-43,0974668
11946;QXP5C72;935SLHMZ1LB544883;-22,8811453;-43,0975006
11951;QXP5C79;935SLHMZ1LB547830;-22,7559405;-43,433133
11953;QXP4H28;935SLHMZ1LB527019;-22,9239186;-43,238177
11960;QUQ2773;9BWAG45UXLT058564;-30,009243;-51,1422283
11972;QXK7510;9BWAG45U0MT002344;-29,9933658;-51,1851418
11978;QWR2186;9BWAG45UXLT069936;-29,9505685;-51,000112
11980;QUP0553;9BWAG45UXLT058483;-29,6917106;-51,1397538
11995;QUU9354;9BWAG45U0LT069945;-26,8882896;-48,654196
12001;QWR2B27;9BWAG45U8LT069837;-15,8721025;-47,9299525
12022;QXF6560;9BWAG45U0LT105570;-22,9335588;-47,0794835
12044;QXD4778;9BWAG45U8LT100911;-18,9051513;-48,2606086
12061;QXQ9G32;9BWAG45U5MT010892;-20,1936681;-40,2594538
12072;QWX0990;9BWAG45U6LT078732;-19,9048216;-43,9658158
12085;QUU5268;9BWAG45U0LT070030;-19,6598898;-43,9383561
12089;QUU0785;9BWAG45U9LT059852;-20,3002443;-40,2997551
12101;QXS9H76;9BWAG45UXMT014257;-23,5375795;-46,5810853
12104;QXS7H41;9BWAG45U7MT014202;-25,4454381;-49,2976785
12159;QUV7618;9BWAG45U8LT069272;-19,9430758;-44,0367035
12163;QUV4D80;9BWAG45U3LT069146;-19,9460945;-43,9697183
12173;QXO1599;9BWAG45U4MT002461;-22,9237701;-43,2384
12189;QWX0741;9BWAG45U6LT076835;-22,9133413;-43,1704465
12192;QUP0588;9BWAG45U4LT058771;-22,816981;-43,2382835
12200;QWX0956;9BWAG45UXLT078829;-22,7676776;-43,2875195
12209;QXP0A93;9BWAG45U7MT006584;-22,748373;-42,8648953
12231;QUP0603;9BWAG45U4LT059242;-22,913328;-43,1703075
12244;QWX0H75;9BWAG45UXLT077261;-19,9395123;-43,9329388
12245;QXM4257;9BWAG45U2MT004970;-22,7676835;-43,2873556
12258;QWU8228;9BHCN51AALP017299;-29,9935355;-51,1850916
12278;QWU8237;9BHCU51AALP030372;-23,5130925;-46,6908666
12285;QXR7C57;9BHCU51AALP066786;-23,5386583;-46,7695708
12288;QWV5653;9BHCU51AALP031027;-23,5691965;-46,4998623
12321;QWU8272;9BHCN51AALP017026;-22,8585415;-43,2520845
12326;QUU5455;9BHBG41CAKP090180;-25,53828;-49,1765651
12475;QUU2161;9BHBG41CAKP091474;-22,9540408;-43,3482411
12495;QUL7564;9BFZH55L6L8406070;-30,009322;-51,1421235
12520;QXN3F18;9BFZH55L4L8494276;-23,5382116;-46,776997
12538;QWT4328;9BFZH54L1L8432321;-12,960344;-38,4731366
12600;QXD0180;9BFZH55L9L8465257;-19,9048248;-43,9660391
